t,red_count,red_fraction,iou,recall,precision,sample_id
0.9400000000000005,648,0.158203125,1.0,1.0,1.0,5
0.9600000000000005,648,0.158203125,1.0,1.0,1.0,5
0.9800000000000005,648,0.158203125,1.0,1.0,1.0,5
1.0000000000000004,648,0.158203125,1.0,1.0,1.0,5
0.0,0,0.0,0.0,0.0,0.0,6
0.02,0,0.0,0.0,0.0,0.0,6
0.04,0,0.0,0.0,0.0,0.0,6
0.06,0,0.0,0.0,0.0,0.0,6
0.08,0,0.0,0.0,0.0,0.0,6
0.1,0,0.0,0.0,0.0,0.0,6
0.12000000000000001,0,0.0,0.0,0.0,0.0,6
0.14,0,0.0,0.0,0.0,0.0,6
0.16,0,0.0,0.0,0.0,0.0,6
0.18,0,0.0,0.0,0.0,0.0,6
0.19999999999999998,0,0.0,0.0,0.0,0.0,6
0.21999999999999997,0,0.0,0.0,0.0,0.0,6
0.23999999999999996,0,0.0,0.0,0.0,0.0,6
0.25999999999999995,0,0.0,0.0,0.0,0.0,6
0.27999999999999997,0,0.0,0.0,0.0,0.0,6
0.3,0,0.0,0.0,0.0,0.0,6
0.32,0,0.0,0.0,0.0,0.0,6
0.34,0,0.0,0.0,0.0,0.0,6
0.36000000000000004,0,0.0,0.0,0.0,0.0,6
0.38000000000000006,0,0.0,0.0,0.0,0.0,6
0.4000000000000001,0,0.0,0.0,0.0,0.0,6
0.4200000000000001,0,0.0,0.0,0.0,0.0,6
0.4400000000000001,0,0.0,0.0,0.0,0.0,6
0.46000000000000013,0,0.0,0.0,0.0,0.0,6
0.48000000000000015,0,0.0,0.0,0.0,0.0,6
0.5000000000000001,0,0.0,0.0,0.0,0.0,6
0.5200000000000001,0,0.0,0.0,0.0,0.0,6
0.5400000000000001,0,0.0,0.0,0.0,0.0,6
0.5600000000000002,0,0.0,0.0,0.0,0.0,6
0.5800000000000002,0,0.0,0.0,0.0,0.0,6
0.6000000000000002,0,0.0,0.0,0.0,0.0,6
0.6200000000000002,0,0.0,0.0,0.0,0.0,6
0.6400000000000002,0,0.0,0.0,0.0,0.0,6
0.6600000000000003,0,0.0,0.0,0.0,0.0,6
0.6800000000000003,0,0.0,0.0,0.0,0.0,6
0.7000000000000003,93,0.022705078125,0.15843270868824533,0.15843270868824533,1.0,6
0.7200000000000003,587,0.143310546875,1.0,1.0,1.0,6
0.7400000000000003,587,0.143310546875,1.0,1.0,1.0,6
0.7600000000000003,587,0.143310546875,1.0,1.0,1.0,6
0.7800000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.8000000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.8200000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.8400000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.8600000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.8800000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.9000000000000005,587,0.143310546875,1.0,1.0,1.0,6
0.9200000000000005,587,0.143310546875,1.0,1.0,1.0,6
0.9400000000000005,587,0.143310546875,1.0,1.0,1.0,6
0.9600000000000005,587,0.143310546875,1.0,1.0,1.0,6
0.9800000000000005,587,0.143310546875,1.0,1.0,1.0,6
1.0000000000000004,587,0.143310546875,1.0,1.0,1.0,6
0.0,0,0.0,0.0,0.0,0.0,7
0.02,0,0.0,0.0,0.0,0.0,7
0.04,0,0.0,0.0,0.0,0.0,7
0.06,0,0.0,0.0,0.0,0.0,7
0.08,0,0.0,0.0,0.0,0.0,7
0.1,0,0.0,0.0,0.0,0.0,7
0.12000000000000001,0,0.0,0.0,0.0,0.0,7
0.14,0,0.0,0.0,0.0,0.0,7
0.16,0,0.0,0.0,0.0,0.0,7
0.18,0,0.0,0.0,0.0,0.0,7
0.19999999999999998,0,0.0,0.0,0.0,0.0,7
0.21999999999999997,0,0.0,0.0,0.0,0.0,7
0.23999999999999996,0,0.0,0.0,0.0,0.0,7
0.25999999999999995,0,0.0,0.0,0.0,0.0,7
0.27999999999999997,0,0.0,0.0,0.0,0.0,7
0.3,0,0.0,0.0,0.0,0.0,7
0.32,0,0.0,0.0,0.0,0.0,7
0.34,0,0.0,0.0,0.0,0.0,7
0.36000000000000004,0,0.0,0.0,0.0,0.0,7
0.38000000000000006,0,0.0,0.0,0.0,0.0,7
0.4000000000000001,0,0.0,0.0,0.0,0.0,7
0.4200000000000001,0,0.0,0.0,0.0,0.0,7
0.4400000000000001,0,0.0,0.0,0.0,0.0,7
0.46000000000000013,0,0.0,0.0,0.0,0.0,7
0.48000000000000015,0,0.0,0.0,0.0,0.0,7
0.5000000000000001,0,0.0,0.0,0.0,0.0,7
0.5200000000000001,0,0.0,0.0,0.0,0.0,7
0.5400000000000001,0,0.0,0.0,0.0,0.0,7
