t_onset,t_midpoint,t_completion,transition_width,sample_id
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,0
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,1
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,2
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,3
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,4
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,5
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,6
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,7
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,8
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,9
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,10
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,11
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,12
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,13
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,14
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,15
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,16
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,17
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,18
0.7000000000000003,0.7200000000000003,0.7200000000000003,0.020000000000000018,19
